time
1,1,Monday,과학 (조한* 선생님)+창특 (김서* 선생님)+국어 (안소* 선생님)+프B (윤성* 선생님)+프B (윤성* 선생님)+영어 (박보* 선생님)
1,1,Tuesday,수학 (김동* 선생님)+사회 (박신* 선생님)+국사 (공창* 선생님)+국어 (안소* 선생님)+음악 (박해* 선생님)+창체+창체
1,1,Wednesday,사회 (박신* 선생님)+컴A (송명* 선생님)+컴A (송명* 선생님)+국사 (공창* 선생님)+영어 (박보* 선생님)+프A (윤성* 선생님)+프A (윤성* 선생님)
1,1,Thursday,과학 (조한* 선생님)+컴B (송명* 선생님)+컴B (송명* 선생님)+창진 (조한* 선생님)+수학 (김동* 선생님)+체육 (윤희* 선생님)+사회 (박신* 선생님)
1,1,Friday,체육 (윤희* 선생님)+수학 (김동* 선생님)+음악 (박해* 선생님)+국어 (안소* 선생님)+영어 (박보* 선생님)+국사 (공창* 선생님)+과학 (조한* 선생님)
1,2,Monday,국사 (공창* 선생님)+영어 (박보* 선생님)+수학 (김동* 선생님)+체육 (윤희* 선생님)+음악 (박해* 선생님)+국어 (안소* 선생님)
1,2,Tuesday,국어 (안소* 선생님)+과학 (조한* 선생님)+수학 (김동* 선생님)+사회 (박신* 선생님)+국사 (공창* 선생님)+창체+창체
1,2,Wednesday,프B (윤성* 선생님)+프B (윤성* 선생님)+과학 (조한* 선생님)+컴B (오지* 선생님)+컴B (오지* 선생님)+수학 (김동* 선생님)+사회 (박신* 선생님)
1,2,Thursday,국사 (공창* 선생님)+창진 (안소* 선생님)+음악 (박해* 선생님)+체육 (윤희* 선생님)+과학 (조한* 선생님)+영어 (박보* 선생님)+국어 (안소* 선생님)
1,2,Friday,프A (윤성* 선생님)+프A (윤성* 선생님)+창특 (김서* 선생님)+컴A (오지* 선생님)+컴A (오지* 선생님)+영어 (박보* 선생님)+사회 (박신* 선생님)
1,3,Monday,수학 (김동* 선생님)+사회 (박신* 선생님)+영어 (박보* 선생님)+디B (김서* 선생님)+디B (김서* 선생님)+국사 (공창* 선생님)
1,3,Tuesday,창특 (윤성* 선생님)+프B (윤성* 선생님)+프B (윤성* 선생님)+체육 (윤희* 선생님)+과학 (조한* 선생님)+창체+창체
1,3,Wednesday,음악 (박해* 선생님)+수학 (김동* 선생님)+국어 (안소* 선생님)+영어 (박보* 선생님)+창진 (조현* 선생님)+과학 (조한* 선생님)+국사 (공창* 선생님)
